,length,space,has .,has %,has percent,label
9%,2,0,0,1,0,1
300%,4,0,0,1,0,1
5 percent,9,1,0,0,1,1
81%,3,0,0,1,0,1
50%,3,0,0,1,0,1
1980 79.4 percent,17,2,1,0,1,0
90%,3,0,0,1,0,1
0.56%,5,0,1,1,0,1
3.3%,4,0,1,1,0,0
0.66%,5,0,1,1,0,1
nearly 80%,10,1,0,1,0,0
21%,3,0,0,1,0,1
80 percent,10,1,0,0,1,1
99.5%,5,0,1,1,0,0
100%,4,0,0,1,0,1
low 66.8 percent,16,2,1,0,1,0
0.52%,5,0,1,1,0,1
19.94%,6,0,1,1,0,0
1.18%,5,0,1,1,0,0
0.67%,5,0,1,1,0,1
99%,3,0,0,1,0,1
12.9%,5,0,1,1,0,0
3%,2,0,0,1,0,1
7%,2,0,0,1,0,1
0.60%,5,0,1,1,0,1
0.01%,5,0,1,1,0,1
99.9%,5,0,1,1,0,0
4.4%,4,0,1,1,0,0
Another record 67 percent,25,3,0,0,1,0
31%,3,0,0,1,0,1
5.25%,5,0,1,1,0,1
28%,3,0,0,1,0,1
0.05%,5,0,1,1,0,1
10 percent,10,1,0,0,1,1
0.5%,4,0,1,1,0,0
19%,3,0,0,1,0,1
6-8 percent,11,1,0,0,1,1
5%,2,0,0,1,0,1
0.1%,4,0,1,1,0,0
45%,3,0,0,1,0,1
60%,3,0,0,1,0,1
8.4%,4,0,1,1,0,0
0.25%,5,0,1,1,0,1
8%,2,0,0,1,0,1
4%,2,0,0,1,0,1
30%,3,0,0,1,0,1
65%,3,0,0,1,0,1
around 23%,10,1,0,1,0,0
1.57%,5,0,1,1,0,1
8.7 percent,11,1,1,0,1,1
3.6 percent,11,1,1,0,1,1
5.1 percent,11,1,1,0,1,1
another 31.5 percent,20,2,1,0,1,0
74 percent,10,1,0,0,1,1
3.9 percent,11,1,1,0,1,1
10%,3,0,0,1,0,1
40%,3,0,0,1,0,1
5.6 percent,11,1,1,0,1,1
0.25 percent,12,1,1,0,1,1
1%,2,0,0,1,0,1
500 5%,6,1,0,1,0,0
50%,3,0,0,1,0,1
0.6%,4,0,1,1,0,0
36%,3,0,0,1,0,1
20 percent,10,1,0,0,1,1
42%,3,0,0,1,0,1
four percent,12,1,0,0,1,1
100%,4,0,0,1,0,1
6.7%,4,0,1,1,0,0
11.2%,5,0,1,1,0,0
less 47%,8,1,0,1,0,0
70%,3,0,0,1,0,1
8.9 percent,11,1,1,0,1,1
7 percent,9,1,0,0,1,1
10 percent,10,1,0,0,1,1
0.5%,4,0,1,1,0,0
42.6 percent,12,1,1,0,1,1
20%,3,0,0,1,0,1
6.6%,4,0,1,1,0,0
0.3%,4,0,1,1,0,0
2.4 percent,11,1,1,0,1,1
17.8 percent,12,1,1,0,1,1
6.9%,4,0,1,1,0,0
roughly 7.4 percent,19,2,1,0,1,0
10 20%,6,1,0,1,0,0
1.5%,4,0,1,1,0,0
1.6%,4,0,1,1,0,0
17.5%,5,0,1,1,0,0
132.3%,6,0,1,1,0,0
almost 200 percent,18,2,0,0,1,0
9.5%,4,0,1,1,0,0
56.0 57.0,9,1,1,0,0,0
6.5%,4,0,1,1,0,0
18.3%,5,0,1,1,0,0
2.59%,5,0,1,1,0,1
56.9%,5,0,1,1,0,0
11.1%,5,0,1,1,0,0
3.5%,4,0,1,1,0,0
37%,3,0,0,1,0,1
5.6%,4,0,1,1,0,0
6.7%,4,0,1,1,0,0
another 20%,11,1,0,1,0,0
2.5%,4,0,1,1,0,0
20.5%,5,0,1,1,0,0
27%,3,0,0,1,0,1
2.67%,5,0,1,1,0,1
20%,3,0,0,1,0,1
5%,2,0,0,1,0,1
0.1%,4,0,1,1,0,0
7.1%,4,0,1,1,0,0
6%,2,0,0,1,0,1
1.98%,5,0,1,1,0,1
13.1%,5,0,1,1,0,0
12.7%,5,0,1,1,0,0
13.3%,5,0,1,1,0,0
7.0%,4,0,1,1,0,0
0.8%,4,0,1,1,0,0
32%,3,0,0,1,0,1
16%,3,0,0,1,0,1
0.46%,5,0,1,1,0,1
2.7%,4,0,1,1,0,0
50 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
2.66%,5,0,1,1,0,1
Platinum 1%,11,1,0,1,0,0
15%,3,0,0,1,0,1
500 4%,6,1,0,1,0,0
2.3%,4,0,1,1,0,0
7 percent,9,1,0,0,1,1
roughly 8%,10,1,0,1,0,0
2.9%,4,0,1,1,0,0
63 percent,10,1,0,0,1,1
9.9%,4,0,1,1,0,0
12.5 percent,12,1,1,0,1,1
December 57.0%,14,1,1,1,0,0
2.4%,4,0,1,1,0,0
7.8%,4,0,1,1,0,0
12%,3,0,0,1,0,1
2.0%,4,0,1,1,0,0
almost 20%,10,1,0,1,0,0
50%,3,0,0,1,0,1
21%,3,0,0,1,0,1
17.2%,5,0,1,1,0,0
13%,3,0,0,1,0,1
3%,2,0,0,1,0,1
7%,2,0,0,1,0,1
1.4%,4,0,1,1,0,0
2.6%,4,0,1,1,0,0
5.4%,4,0,1,1,0,0
2%,2,0,0,1,0,1
2011 little 20%,15,2,0,1,0,0
Over 33% percent,16,2,0,1,1,0
1.0%,4,0,1,1,0,0
95%,3,0,0,1,0,1
1.1%,4,0,1,1,0,0
8%,2,0,0,1,0,1
5.3%,4,0,1,1,0,0
30%,3,0,0,1,0,1
17%,3,0,0,1,0,1
35%,3,0,0,1,0,1
roughly 10%,11,1,0,1,0,0
23%,3,0,0,1,0,1
7.5%,4,0,1,1,0,0
10%,3,0,0,1,0,1
3.6%,4,0,1,1,0,0
6.4%,4,0,1,1,0,0
roughly 16%,11,1,0,1,0,0
nearly40%,9,0,0,1,0,0
64.2%,5,0,1,1,0,0
66%,3,0,0,1,0,1
33%,3,0,0,1,0,1
8.9%,4,0,1,1,0,0
25%,3,0,0,1,0,1
4%,2,0,0,1,0,1
31%,3,0,0,1,0,1
1.5 2 percent,13,2,1,0,1,0
3.7%,4,0,1,1,0,0
1.5%,4,0,1,1,0,0
3.7 percent,11,1,1,0,1,1
500 0.9%,8,1,1,1,0,0
1-3%,4,0,0,1,0,0
6.0 percent,11,1,1,0,1,1
18 percent,10,1,0,0,1,1
60 percent,10,1,0,0,1,1
67%,3,0,0,1,0,1
0.2%,4,0,1,1,0,0
8-14%,5,0,0,1,0,0
12 percent,10,1,0,0,1,1
3.5%,4,0,1,1,0,0
71%,3,0,0,1,0,1
nearly 3%,9,1,0,1,0,0
35 39 percent,13,2,0,0,1,0
51%,3,0,0,1,0,1
3 percent,9,1,0,0,1,1
4.4%,4,0,1,1,0,0
2.5%,4,0,1,1,0,0
27%,3,0,0,1,0,1
0.1 percent,11,1,1,0,1,1
Futures 1%,10,1,0,1,0,0
shy 21%,7,1,0,1,0,0
0.4 percent,11,1,1,0,1,1
82%,3,0,0,1,0,1
around 9 percent,16,2,0,0,1,0
20%,3,0,0,1,0,1
12.8 percent,12,1,1,0,1,1
39 percent,10,1,0,0,1,1
5%,2,0,0,1,0,1
0.1%,4,0,1,1,0,0
6%,2,0,0,1,0,1
45%,3,0,0,1,0,1
22 percent,10,1,0,0,1,1
around 13 percent,17,2,0,0,1,0
6.3%,4,0,1,1,0,0
4.2%,4,0,1,1,0,0
7-10%,5,0,0,1,0,0
47%,3,0,0,1,0,1
5.1 percent,11,1,1,0,1,1
50 percent,10,1,0,0,1,1
30 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
64 percent,10,1,0,0,1,1
nearly 7.5 percent,18,2,1,0,1,0
0.2 percent,11,1,1,0,1,1
15%,3,0,0,1,0,1
3.3%,4,0,1,1,0,0
another 15%,11,1,0,1,0,0
4 percent,9,1,0,0,1,1
Only percent,12,1,0,0,1,0
3.1%,4,0,1,1,0,0
11%,3,0,0,1,0,1
1.8%,4,0,1,1,0,0
2.55%,5,0,1,1,0,1
More 90 percent,15,2,0,0,1,0
10.2%,5,0,1,1,0,0
80%,3,0,0,1,0,1
76%,3,0,0,1,0,1
11 percent,10,1,0,0,1,1
10-12%,6,0,0,1,0,0
1-1.5%,6,0,1,1,0,0
7 percent,9,1,0,0,1,1
2.1 percent,11,1,1,0,1,1
2.6 percent,11,1,1,0,1,1
18%,3,0,0,1,0,1
97 percent,10,1,0,0,1,1
Around 40 percent,17,2,0,0,1,0
2.9%,4,0,1,1,0,0
9.9%,4,0,1,1,0,0
67 percent,10,1,0,0,1,1
7.4 percent,11,1,1,0,1,1
63%,3,0,0,1,0,1
2.4%,4,0,1,1,0,0
low 3.5%,8,1,1,1,0,0
4.5 percent,11,1,1,0,1,1
24%,3,0,0,1,0,1
24.5 percent,12,1,1,0,1,0
50%,3,0,0,1,0,1
36%,3,0,0,1,0,1
20 percent,10,1,0,0,1,1
56%,3,0,0,1,0,1
27 percent,10,1,0,0,1,1
73%,3,0,0,1,0,1
77%,3,0,0,1,0,1
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
74%,3,0,0,1,0,1
4.7 percent,11,1,1,0,1,1
13%,3,0,0,1,0,1
28 percent,10,1,0,0,1,1
7.9%,4,0,1,1,0,0
0.9 percent,11,1,1,0,1,1
5.7%,4,0,1,1,0,0
Eighty percent,14,1,0,0,1,1
14%,3,0,0,1,0,1
3.0 percent,11,1,1,0,1,1
95%,3,0,0,1,0,1
8%,2,0,0,1,0,1
30%,3,0,0,1,0,1
23 percent,10,1,0,0,1,1
another 24 percent,18,2,0,0,1,0
5-6%,4,0,0,1,0,0
5.2%,4,0,1,1,0,0
nearly 80 percent,17,2,0,0,1,0
6 percent,9,1,0,0,1,1
2.63%,5,0,1,1,0,1
19 percent,10,1,0,0,1,1
74 percent,10,1,0,0,1,1
roughly 3 percent,17,2,0,0,1,0
2.0 percent,11,1,1,0,1,1
almost 10%,10,1,0,1,0,0
10%,3,0,0,1,0,1
7.5%,4,0,1,1,0,0
40%,3,0,0,1,0,1
0.4%,4,0,1,1,0,0
6.4%,4,0,1,1,0,0
9%,2,0,0,1,0,1
5 percent,9,1,0,0,1,1
around 100 percent,18,2,0,0,1,0
1.5 percent,11,1,1,0,1,1
4.0%,4,0,1,1,0,0
42%,3,0,0,1,0,1
80 percent,10,1,0,0,1,1
43%,3,0,0,1,0,1
10.3 percent,12,1,1,0,1,1
0.8 percent,11,1,1,0,1,1
79 percent,10,1,0,0,1,1
93%,3,0,0,1,0,1
70%,3,0,0,1,0,1
83%,3,0,0,1,0,1
13 percent,10,1,0,0,1,1
90 percent,10,1,0,0,1,1
40%-50%,7,0,0,1,0,0
37.9%,5,0,1,1,0,0
20 months 62.5%,15,2,1,1,0,0
0.5 percent,11,1,1,0,1,1
nearly 30 percent,17,2,0,0,1,0
25%,3,0,0,1,0,1
4%,2,0,0,1,0,1
around 98 percent,17,2,0,0,1,0
25 percent,10,1,0,0,1,1
60-70%,6,0,0,1,0,1
1.5%,4,0,1,1,0,0
1.6%,4,0,1,1,0,0
73 percent,10,1,0,0,1,1
nearly 12%,10,1,0,1,0,0
15 25 percent,13,2,0,0,1,0
0.2%,4,0,1,1,0,0
7.7%,4,0,1,1,0,0
3.5%,4,0,1,1,0,0
roughly 15%,11,1,0,1,0,0
2.5%,4,0,1,1,0,0
4.4%,4,0,1,1,0,0
32 percent,10,1,0,0,1,1
1.2%,4,0,1,1,0,0
8.1 percent,11,1,1,0,1,1
20%,3,0,0,1,0,1
19%,3,0,0,1,0,1
5%,2,0,0,1,0,1
0.1%,4,0,1,1,0,0
about 65%,9,1,0,1,0,0
Nat Gas 1%,10,2,0,1,0,0
0.8%,4,0,1,1,0,0
16%,3,0,0,1,0,1
7.4%,4,0,1,1,0,0
9.96%,5,0,1,1,0,0
47%,3,0,0,1,0,1
2.7%,4,0,1,1,0,0
1%,2,0,0,1,0,1
500 30%,7,1,0,1,0,0
9.4%,4,0,1,1,0,0
nearly 27%,10,1,0,1,0,0
15%,3,0,0,1,0,1
15 percent,10,1,0,0,1,1
57%,3,0,0,1,0,1
75%,3,0,0,1,0,1
80%,3,0,0,1,0,1
4.3%,4,0,1,1,0,0
-0.50%,6,0,1,1,0,0
60%,3,0,0,1,0,1
6.1%,4,0,1,1,0,0
nearly 100%,11,1,0,1,0,0
69%,3,0,0,1,0,1
4.5 percent,11,1,1,0,1,1
39%,3,0,0,1,0,1
roughly 80%,11,1,0,1,0,0
21%,3,0,0,1,0,1
nearly 8 percent,16,2,0,0,1,0
34%,3,0,0,1,0,1
56 percent,10,1,0,0,1,1
13%,3,0,0,1,0,1
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
about 2%,8,1,0,1,0,0
28 percent,10,1,0,0,1,1
17 percent,10,1,0,0,1,1
4.26%,5,0,1,1,0,0
The 1 percent,13,2,0,0,1,0
10 percent,10,1,0,0,1,1
42 percent,10,1,0,0,1,1
14%,3,0,0,1,0,1
1.0%,4,0,1,1,0,0
3.0 percent,11,1,1,0,1,1
1.1%,4,0,1,1,0,0
8%,2,0,0,1,0,1
30%,3,0,0,1,0,1
6.9%,4,0,1,1,0,0
17%,3,0,0,1,0,1
100 percent,11,1,0,0,1,1
about 10%,9,1,0,1,0,0
1.6 percent,11,1,1,0,1,1
2.63%,5,0,1,1,0,1
16 percent,10,1,0,0,1,1
1 percent,9,1,0,0,1,1
52%,3,0,0,1,0,1
0.9%,4,0,1,1,0,0
9 percent,9,1,0,0,1,1
3.9 percent,11,1,1,0,1,1
10%,3,0,0,1,0,1
40%,3,0,0,1,0,1
7.5%,4,0,1,1,0,0
9%,2,0,0,1,0,1
5 percent,9,1,0,0,1,1
perhaps much 40 percent,23,3,0,0,1,0
0.6%,4,0,1,1,0,0
The 4%,6,1,0,1,0,0
low 3.50%,9,1,1,1,0,0
500 trading 0.2%,16,2,1,1,0,0
5-8%,4,0,0,1,0,1
nearly 40%,10,1,0,1,0,0
8.2%,4,0,1,1,0,0
116%,4,0,0,1,0,0
1.25%,5,0,1,1,0,1
10.69%,6,0,1,1,0,1
almost percent,14,1,0,0,1,0
0.7%,4,0,1,1,0,0
25%,3,0,0,1,0,1
4%,2,0,0,1,0,1
15.6%,5,0,1,1,0,0
25 percent,10,1,0,0,1,1
1.5%,4,0,1,1,0,0
roughly 3%,10,1,0,1,0,0
1.6%,4,0,1,1,0,0
0.10%,5,0,1,1,0,1
7.2%,4,0,1,1,0,0
18 percent,10,1,0,0,1,1
0.75%,5,0,1,1,0,1
0.2%,4,0,1,1,0,0
0%,2,0,0,1,0,1
5.6%,4,0,1,1,0,0
85.9 percent,12,1,1,0,1,1
6.7%,4,0,1,1,0,0
38 percent,10,1,0,0,1,1
3 percent,9,1,0,0,1,1
5.64 percent,12,1,1,0,1,0
12.5%,5,0,1,1,0,0
1.2%,4,0,1,1,0,0
0.4 percent,11,1,1,0,1,1
20%,3,0,0,1,0,1
5%,2,0,0,1,0,1
0.1%,4,0,1,1,0,0
19.1 percent,12,1,1,0,1,0
0.25%,5,0,1,1,0,1
40 90%,6,1,0,1,0,0
40 1.7%,7,1,1,1,0,0
22 percent,10,1,0,0,1,1
100 1.5%,8,1,1,1,0,0
16%,3,0,0,1,0,1
2.2%,4,0,1,1,0,0
6.3%,4,0,1,1,0,0
47%,3,0,0,1,0,1
2 percent,9,1,0,0,1,1
9.0 percent,11,1,1,0,1,1
30 percent,10,1,0,0,1,1
15 percent,10,1,0,0,1,1
up47%,5,0,0,1,0,0
11 percent,10,1,0,0,1,1
7 percent,9,1,0,0,1,1
a tad 17%,9,2,0,1,0,0
2.4%,4,0,1,1,0,0
4.4 percent,11,1,1,0,1,1
6.1%,4,0,1,1,0,0
35 percent,10,1,0,0,1,1
9.5 percent,11,1,1,0,1,1
39%,3,0,0,1,0,1
24%,3,0,0,1,0,1
2.5 percent,11,1,1,0,1,1
4.8%,4,0,1,1,0,0
450 percent,11,1,0,0,1,1
500 43.8%,9,1,1,1,0,0
13%,3,0,0,1,0,1
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
46%,3,0,0,1,0,1
48%,3,0,0,1,0,1
1.4%,4,0,1,1,0,0
7%,2,0,0,1,0,1
17 percent,10,1,0,0,1,1
14.4%,5,0,1,1,0,0
500 5.2%,8,1,1,1,0,0
10 percent,10,1,0,0,1,1
9.7 percent,11,1,1,0,1,1
14%,3,0,0,1,0,1
1.0%,4,0,1,1,0,0
55 percent,10,1,0,0,1,1
1.3 percent,11,1,1,0,1,1
8%,2,0,0,1,0,1
1.1%,4,0,1,1,0,0
30%,3,0,0,1,0,1
5.2%,4,0,1,1,0,0
44%,3,0,0,1,0,1
2.8%,4,0,1,1,0,0
1.6 percent,11,1,1,0,1,1
6.0%,4,0,1,1,0,0
2.2 percent,11,1,1,0,1,1
6 percent,9,1,0,0,1,1
16 percent,10,1,0,0,1,1
roughly 10%,11,1,0,1,0,0
"product"")grow 4%",16,1,0,1,0,0
1 percent,9,1,0,0,1,1
9 percent,9,1,0,0,1,1
44 percent,10,1,0,0,1,1
10%,3,0,0,1,0,1
40%,3,0,0,1,0,1
3.0%,4,0,1,1,0,0
5 percent,9,1,0,0,1,1
10.7 percent,12,1,1,0,1,1
0.6%,4,0,1,1,0,0
1.9%,4,0,1,1,0,0
42%,3,0,0,1,0,1
43%,3,0,0,1,0,1
14 percent,10,1,0,0,1,1
41%,3,0,0,1,0,1
70%,3,0,0,1,0,1
5.8 percent,11,1,1,0,1,1
33%,3,0,0,1,0,1
0.5%,4,0,1,1,0,0
90 percent,10,1,0,0,1,1
0.7%,4,0,1,1,0,0
nearly 90%,10,1,0,1,0,0
10.0%,5,0,1,1,0,0
4%,2,0,0,1,0,1
22%,3,0,0,1,0,1
1.0 percent,11,1,1,0,1,1
1.5%,4,0,1,1,0,0
63.0 percent,12,1,1,0,1,1
1.3%,4,0,1,1,0,0
92%,3,0,0,1,0,1
6.5%,4,0,1,1,0,0
0.2%,4,0,1,1,0,0
58.8%,5,0,1,1,0,0
0.3 percent,11,1,1,0,1,1
12 percent,10,1,0,0,1,1
3.5%,4,0,1,1,0,0
6.7%,4,0,1,1,0,0
2.5%,4,0,1,1,0,0
4.4%,4,0,1,1,0,0
3.8%,4,0,1,1,0,0
0.2 percentage points,21,2,1,0,1,0
28%,3,0,0,1,0,1
6.6%,4,0,1,1,0,0
20%,3,0,0,1,0,1
0.1%,4,0,1,1,0,0
7.1%,4,0,1,1,0,0
6%,2,0,0,1,0,1
13.1%,5,0,1,1,0,0
12.7%,5,0,1,1,0,0
3.4%,4,0,1,1,0,0
10-15%,6,0,0,1,0,1
2.2%,4,0,1,1,0,0
3.6 percent,11,1,1,0,1,1
30 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
0.7 percent,11,1,1,0,1,1
1.8%,4,0,1,1,0,0
58.8 percent,12,1,1,0,1,1
80%,3,0,0,1,0,1
2.3%,4,0,1,1,0,0
nearly another 40 percent,25,3,0,0,1,0
5.4 percent,11,1,1,0,1,1
60%,3,0,0,1,0,1
62.8%,5,0,1,1,0,0
2.4%,4,0,1,1,0,0
8 percent,9,1,0,0,1,1
24%,3,0,0,1,0,1
36%,3,0,0,1,0,1
4.8%,4,0,1,1,0,0
1.8 percent,11,1,1,0,1,1
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
2.6%,4,0,1,1,0,0
5.4%,4,0,1,1,0,0
0.2 percentage point,20,2,1,0,1,0
10 percent,10,1,0,0,1,1
58%,3,0,0,1,0,1
1.0%,4,0,1,1,0,0
0.3%,4,0,1,1,0,0
95%,3,0,0,1,0,1
2.1%,4,0,1,1,0,0
1.1%,4,0,1,1,0,0
6.681%,6,0,1,1,0,0
30%,3,0,0,1,0,1
5.2%,4,0,1,1,0,0
0.0%,4,0,1,1,0,0
nearly 50%,10,1,0,1,0,0
1.6 percent,11,1,1,0,1,1
2.2 percent,11,1,1,0,1,1
52%,3,0,0,1,0,1
0.9%,4,0,1,1,0,0
6.584%,6,0,1,1,0,0
10%,3,0,0,1,0,1
3.6%,4,0,1,1,0,0
40%,3,0,0,1,0,1
0.4%,4,0,1,1,0,0
9%,2,0,0,1,0,1
81%,3,0,0,1,0,1
0.6%,4,0,1,1,0,0
1.9%,4,0,1,1,0,0
100%,4,0,0,1,0,1
20-32%,6,0,0,1,0,0
3.2 percent,11,1,1,0,1,1
12.9%,5,0,1,1,0,0
Almost 40%,10,1,0,1,0,0
around 40%,10,1,0,1,0,0
1.5-2.3%,8,0,1,1,0,0
70%,3,0,0,1,0,1
98-100%,7,0,0,1,0,0
0.5%,4,0,1,1,0,0
63.0%,5,0,1,1,0,0
0.6 percent,11,1,1,0,1,1
8.4%,4,0,1,1,0,0
4.5 percent,11,1,1,0,1,1
"product"")grow 4%",16,1,0,1,0,0
1.3%,4,0,1,1,0,0
44 percent,10,1,0,0,1,1
less 1 percent,14,2,0,0,1,0
37 percent,10,1,0,0,1,1
18 percent,10,1,0,0,1,1
around 0.40%,12,1,1,1,0,0
10-15 percent,13,1,0,0,1,1
5 percent,9,1,0,0,1,1
50%,3,0,0,1,0,1
0.3 percent,11,1,1,0,1,1
8.5 percent,11,1,1,0,1,1
3%,2,0,0,1,0,1
46%,3,0,0,1,0,1
2%,2,0,0,1,0,1
4.7 percent,11,1,1,0,1,1
1.4%,4,0,1,1,0,0
0.20%,5,0,1,1,0,1
70%,3,0,0,1,0,1
3 percent,9,1,0,0,1,1
7 percent,9,1,0,0,1,1
10 percent,10,1,0,0,1,1
65 percent,10,1,0,0,1,1
2.71 percent,12,1,1,0,1,1
6.7 percent,11,1,1,0,1,1
1.1%,4,0,1,1,0,0
8%,2,0,0,1,0,1
2.8%,4,0,1,1,0,0
nearly 12%,10,1,0,1,0,0
0.33%,5,0,1,1,0,1
49.5 percent,12,1,1,0,1,1
nine percent,12,1,0,0,1,1
48%,3,0,0,1,0,1
177%,4,0,0,1,0,1
12.5%,5,0,1,1,0,0
almost 1%,9,1,0,1,0,0
39%,3,0,0,1,0,1
500 43.8%,9,1,1,1,0,0
7.6%,4,0,1,1,0,0
50.5 percent,12,1,1,0,1,0
43%,3,0,0,1,0,1
7.3940%,7,0,1,1,0,0
34%,3,0,0,1,0,1
22%,3,0,0,1,0,1
45 percent,10,1,0,0,1,1
500 1%,6,1,0,1,0,0
1.5%,4,0,1,1,0,0
nearly 50%,10,1,0,1,0,0
36 percent,10,1,0,0,1,1
16%,3,0,0,1,0,1
220%,4,0,0,1,0,1
96%,3,0,0,1,0,1
19 percent,10,1,0,0,1,1
4.5 percent,11,1,1,0,1,1
52%,3,0,0,1,0,1
0.9%,4,0,1,1,0,0
16.4%,5,0,1,1,0,0
54 percent,10,1,0,0,1,1
44 percent,10,1,0,0,1,1
less 1 percent,14,2,0,0,1,0
10%,3,0,0,1,0,1
24%,3,0,0,1,0,1
1%,2,0,0,1,0,1
40%,3,0,0,1,0,1
2.66%,5,0,1,1,0,1
5.5 percent,11,1,1,0,1,1
9%,2,0,0,1,0,1
500 18%,7,1,0,1,0,0
almost 6 percent,16,2,0,0,1,0
69 percent,10,1,0,0,1,1
50%,3,0,0,1,0,1
roughly 100%,12,1,0,1,0,0
18.1%,5,0,1,1,0,0
36%,3,0,0,1,0,1
15%,3,0,0,1,0,1
3.3%,4,0,1,1,0,0
About 25%,9,1,0,1,0,0
177%,4,0,0,1,0,1
12 percent,10,1,0,0,1,1
71%,3,0,0,1,0,1
almost 2%,9,1,0,1,0,0
3.2 percent,11,1,1,0,1,1
99%,3,0,0,1,0,1
coverage least 70%,18,2,0,1,0,0
77%,3,0,0,1,0,1
41%,3,0,0,1,0,1
2%,2,0,0,1,0,1
57.4%,5,0,1,1,0,0
2.6%,4,0,1,1,0,0
25.98%,6,0,1,1,0,1
nearly 4%,9,1,0,1,0,0
70%,3,0,0,1,0,1
5.8 percent,11,1,1,0,1,1
7 percent,9,1,0,0,1,1
1.2%,4,0,1,1,0,0
18%,3,0,0,1,0,1
20%,3,0,0,1,0,1
around 6%,9,1,0,1,0,0
39 percent,10,1,0,0,1,1
0.3%,4,0,1,1,0,0
6%,2,0,0,1,0,1
95%,3,0,0,1,0,1
55 percent,10,1,0,0,1,1
5 8 percent,11,2,0,0,1,0
almost 6%,9,1,0,1,0,0
26.03%,6,0,1,1,0,1
6.3 percent,11,1,1,0,1,1
2.9%,4,0,1,1,0,0
14.7%,5,0,1,1,0,0
1.1%,4,0,1,1,0,0
25%,3,0,0,1,0,1
4%,2,0,0,1,0,1
30%,3,0,0,1,0,1
1.7%,4,0,1,1,0,0
13.3%,5,0,1,1,0,0
67 percent,10,1,0,0,1,1
1.5%,4,0,1,1,0,0
26%,3,0,0,1,0,1
1.3%,4,0,1,1,0,0
15.6 percent,12,1,1,0,1,1
6.5%,4,0,1,1,0,0
0.2%,4,0,1,1,0,0
7.7%,4,0,1,1,0,0
0.3 percent,11,1,1,0,1,1
12 percent,10,1,0,0,1,1
a10%,4,0,0,1,0,0
5.6%,4,0,1,1,0,0
3 percent,9,1,0,0,1,1
2.5%,4,0,1,1,0,0
0.1 percent,11,1,1,0,1,1
averaged120%,12,0,0,1,0,0
1.2%,4,0,1,1,0,0
0.4 percent,11,1,1,0,1,1
20%,3,0,0,1,0,1
2.8 percent,11,1,1,0,1,1
19%,3,0,0,1,0,1
0.1%,4,0,1,1,0,0
7.1%,4,0,1,1,0,0
5%,2,0,0,1,0,1
15.7 percent,12,1,1,0,1,1
nearly 70 percent,17,2,0,0,1,0
16%,3,0,0,1,0,1
4.9 percent,11,1,1,0,1,1
14.2 percent,12,1,1,0,1,1
84%,3,0,0,1,0,1
2 percent,9,1,0,0,1,1
1%,2,0,0,1,0,1
0.2 percent,11,1,1,0,1,1
8.0 percent,11,1,1,0,1,1
15%,3,0,0,1,0,1
4 percent,9,1,0,0,1,1
15 percent,10,1,0,0,1,1
largesse 99 percent,19,2,0,0,1,0
0.7 percent,11,1,1,0,1,1
6-1/2 percent,13,1,0,0,1,1
91%,3,0,0,1,0,1
75 percent,10,1,0,0,1,1
18%,3,0,0,1,0,1
1.7%,4,0,1,1,0,0
approximately 85%,17,1,0,1,0,0
10.5%,5,0,1,1,0,0
around 1%,9,1,0,1,0,0
24%,3,0,0,1,0,1
1.22 percent,12,1,1,0,1,0
7.7 percent,11,1,1,0,1,1
outsideJapanabout 0.8 percent,29,2,1,0,1,0
50%,3,0,0,1,0,1
1-3/4 percent,13,1,0,0,1,0
21%,3,0,0,1,0,1
3-1/2 percent,13,1,0,0,1,0
15 30 percent,13,2,0,0,1,0
13%,3,0,0,1,0,1
7%,2,0,0,1,0,1
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
74%,3,0,0,1,0,1
17 percent,10,1,0,0,1,1
0.9 percent,11,1,1,0,1,1
10 percent,10,1,0,0,1,1
0.3%,4,0,1,1,0,0
nearly 13%,10,1,0,1,0,0
400%,4,0,0,1,0,1
95%,3,0,0,1,0,1
2.724 percent,13,1,1,0,1,0
5.0 percent,11,1,1,0,1,1
40.3 percent,12,1,1,0,1,0
1.1%,4,0,1,1,0,0
30%,3,0,0,1,0,1
97%,3,0,0,1,0,1
6.9%,4,0,1,1,0,0
17%,3,0,0,1,0,1
44%,3,0,0,1,0,1
1.6 percentage points,21,2,1,0,1,0
1 percent,9,1,0,0,1,1
52%,3,0,0,1,0,1
10%,3,0,0,1,0,1
0.4%,4,0,1,1,0,0
9%,2,0,0,1,0,1
11.4 percent,12,1,1,0,1,1
is8%,4,0,0,1,0,0
2.717 percent,13,1,1,0,1,0
80 percent,10,1,0,0,1,1
43%,3,0,0,1,0,1
93%,3,0,0,1,0,1
9.3%,4,0,1,1,0,0
0.6 percent,11,1,1,0,1,1
10.6%,5,0,1,1,0,0
10.6 percent,12,1,1,0,1,1
4%,2,0,0,1,0,1
1.11 percent,12,1,1,0,1,1
22%,3,0,0,1,0,1
3.7%,4,0,1,1,0,0
5.5-6.2%,8,0,1,1,0,0
